      X       Y           ¦Ñs            ¦Çs
    11.5    -3.0     1.014713E+02     0.000000E+00
    12.0    -3.5     1.023202E+02     0.000000E+00
    12.5    -4.0     1.024834E+02     0.000000E+00
    13.0    -4.5     9.987437E+01     0.000000E+00
    13.5    -5.0     9.503408E+01     0.000000E+00
    14.0    -5.5     8.906296E+01     0.000000E+00
    14.5    -6.0     8.306561E+01     0.000000E+00
    15.0    -6.5     7.808305E+01     0.000000E+00
    15.5    -7.0     7.509559E+01     0.000000E+00
    16.0    -7.5     7.468773E+01     0.000000E+00
    16.5    -8.0     7.585853E+01     0.000000E+00
    17.0    -8.5     7.778441E+01     0.000000E+00
    17.5    -9.0     7.996007E+01     0.000000E+00
    18.0    -9.5     8.211299E+01     0.000000E+00
    18.5   -10.0     8.411618E+01     0.000000E+00
    19.0   -10.5     8.590728E+01     0.000000E+00
    19.5   -11.0     8.747564E+01     0.000000E+00
    20.0   -11.5     8.883180E+01     0.000000E+00
    20.5   -12.0     8.999382E+01     0.000000E+00
    21.0   -12.5     9.098229E+01     0.000000E+00
    21.5   -13.0     9.183234E+01     0.000000E+00
    22.0   -13.5     9.255376E+01     0.000000E+00
    22.5   -14.0     9.318726E+01     0.000000E+00
    23.0   -14.5     9.373874E+01     0.000000E+00
    23.5   -15.0     9.422209E+01     0.000000E+00
    24.0   -15.5     9.466843E+01     0.000000E+00
    10.5    -1.0     8.563089E+01     0.000000E+00
    11.0    -1.5     1.086299E+02     0.000000E+00
    11.5    -2.0     1.063335E+02     0.000000E+00
    12.0    -2.5     1.025309E+02     0.000000E+00
    12.5    -3.0     1.015925E+02     0.000000E+00
    13.0    -3.5     1.016105E+02     0.000000E+00
    13.5    -4.0     9.983239E+01     0.000000E+00
    14.0    -4.5     9.594942E+01     0.000000E+00
    14.5    -5.0     9.063536E+01     0.000000E+00
    15.0    -5.5     8.487532E+01     0.000000E+00
    15.5    -6.0     7.973023E+01     0.000000E+00
    16.0    -6.5     7.626481E+01     0.000000E+00
    16.5    -7.0     7.520703E+01     0.000000E+00
    17.0    -7.5     7.576235E+01     0.000000E+00
    17.5    -8.0     7.720163E+01     0.000000E+00
    18.0    -8.5     7.902391E+01     0.000000E+00
    18.5    -9.0     8.095949E+01     0.000000E+00
    19.0    -9.5     8.282512E+01     0.000000E+00
    19.5   -10.0     8.455251E+01     0.000000E+00
    20.0   -10.5     8.610971E+01     0.000000E+00
    20.5   -11.0     8.747365E+01     0.000000E+00
    21.0   -11.5     8.867262E+01     0.000000E+00
    21.5   -12.0     8.970181E+01     0.000000E+00
    22.0   -12.5     9.059962E+01     0.000000E+00
    22.5   -13.0     9.137226E+01     0.000000E+00
    23.0   -13.5     9.204951E+01     0.000000E+00
    23.5   -14.0     9.263714E+01     0.000000E+00
    24.0   -14.5     9.316855E+01     0.000000E+00
    24.5   -15.0     9.364132E+01     0.000000E+00
    11.5    -1.0     8.564991E+01     0.000000E+00
    12.0    -1.5     1.087085E+02     0.000000E+00
    12.5    -2.0     1.064990E+02     0.000000E+00
    13.0    -2.5     1.026608E+02     0.000000E+00
    13.5    -3.0     1.011364E+02     0.000000E+00
    14.0    -3.5     9.956342E+01     0.000000E+00
    14.5    -4.0     9.658926E+01     0.000000E+00
    15.0    -4.5     9.212370E+01     0.000000E+00
    15.5    -5.0     8.682022E+01     0.000000E+00
    16.0    -5.5     8.166700E+01     0.000000E+00
    16.5    -6.0     7.778749E+01     0.000000E+00
    17.0    -6.5     7.605051E+01     0.000000E+00
    17.5    -7.0     7.591454E+01     0.000000E+00
    18.0    -7.5     7.676525E+01     0.000000E+00
    18.5    -8.0     7.815815E+01     0.000000E+00
    19.0    -8.5     7.977751E+01     0.000000E+00
    19.5    -9.0     8.144722E+01     0.000000E+00
    20.0    -9.5     8.306079E+01     0.000000E+00
    20.5   -10.0     8.455550E+01     0.000000E+00
    21.0   -10.5     8.590382E+01     0.000000E+00
    21.5   -11.0     8.710952E+01     0.000000E+00
    22.0   -11.5     8.817461E+01     0.000000E+00
    22.5   -12.0     8.910230E+01     0.000000E+00
    23.0   -12.5     8.992191E+01     0.000000E+00
    23.5   -13.0     9.063942E+01     0.000000E+00
    24.0   -13.5     9.127289E+01     0.000000E+00
    24.5   -14.0     9.184070E+01     0.000000E+00
    25.0   -14.5     9.234292E+01     0.000000E+00
    12.5    -1.0     8.567479E+01     0.000000E+00
    13.0    -1.5     1.087966E+02     0.000000E+00
    13.5    -2.0     1.066066E+02     0.000000E+00
    14.0    -2.5     1.024143E+02     0.000000E+00
    14.5    -3.0     9.969746E+01     0.000000E+00
    15.0    -3.5     9.706963E+01     0.000000E+00
    15.5    -4.0     9.344655E+01     0.000000E+00
    16.0    -4.5     8.880572E+01     0.000000E+00
    16.5    -5.0     8.385635E+01     0.000000E+00
    17.0    -5.5     7.968367E+01     0.000000E+00
    17.5    -6.0     7.728493E+01     0.000000E+00
    18.0    -6.5     7.640468E+01     0.000000E+00
    18.5    -7.0     7.658626E+01     0.000000E+00
    19.0    -7.5     7.742840E+01     0.000000E+00
    19.5    -8.0     7.864405E+01     0.000000E+00
    20.0    -8.5     8.002688E+01     0.000000E+00
    20.5    -9.0     8.144505E+01     0.000000E+00
    21.0    -9.5     8.282000E+01     0.000000E+00
    21.5   -10.0     8.411618E+01     0.000000E+00
    22.0   -10.5     8.529305E+01     0.000000E+00
    22.5   -11.0     8.634943E+01     0.000000E+00
    23.0   -11.5     8.730594E+01     0.000000E+00
    23.5   -12.0     8.814877E+01     0.000000E+00
    24.0   -12.5     8.889658E+01     0.000000E+00
    24.5   -13.0     8.956808E+01     0.000000E+00
    25.0   -13.5     9.016133E+01     0.000000E+00
    25.5   -14.0     9.070763E+01     0.000000E+00
    13.5    -1.0     8.570304E+01     0.000000E+00
    14.0    -1.5     1.088624E+02     0.000000E+00
    14.5    -2.0     1.065107E+02     0.000000E+00
    15.0    -2.5     1.015450E+02     0.000000E+00
    15.5    -3.0     9.798502E+01     0.000000E+00
    16.0    -3.5     9.470647E+01     0.000000E+00
    16.5    -4.0     9.075854E+01     0.000000E+00
    17.0    -4.5     8.622414E+01     0.000000E+00
    17.5    -5.0     8.195063E+01     0.000000E+00
    18.0    -5.5     7.897675E+01     0.000000E+00
    18.5    -6.0     7.733442E+01     0.000000E+00
    19.0    -6.5     7.676538E+01     0.000000E+00
    19.5    -7.0     7.696148E+01     0.000000E+00
    20.0    -7.5     7.765113E+01     0.000000E+00
    20.5    -8.0     7.863947E+01     0.000000E+00
    21.0    -8.5     7.977201E+01     0.000000E+00
    21.5    -9.0     8.094424E+01     0.000000E+00
    22.0    -9.5     8.210531E+01     0.000000E+00
    22.5   -10.0     8.319869E+01     0.000000E+00
    23.0   -10.5     8.423069E+01     0.000000E+00
    23.5   -11.0     8.515359E+01     0.000000E+00
    24.0   -11.5     8.600066E+01     0.000000E+00
    24.5   -12.0     8.676111E+01     0.000000E+00
    25.0   -12.5     8.744769E+01     0.000000E+00
    25.5   -13.0     8.806296E+01     0.000000E+00
    26.0   -13.5     8.862650E+01     0.000000E+00
    14.5    -1.0     8.572630E+01     0.000000E+00
    15.0    -1.5     1.088491E+02     0.000000E+00
    15.5    -2.0     1.061098E+02     0.000000E+00
    16.0    -2.5     1.005741E+02     0.000000E+00
    16.5    -3.0     9.644890E+01     0.000000E+00
    17.0    -3.5     9.276358E+01     0.000000E+00
    17.5    -4.0     8.871059E+01     0.000000E+00
    18.0    -4.5     8.454559E+01     0.000000E+00
    18.5    -5.0     8.115424E+01     0.000000E+00
    19.0    -5.5     7.880472E+01     0.000000E+00
    19.5    -6.0     7.744688E+01     0.000000E+00
    20.0    -6.5     7.689870E+01     0.000000E+00
    20.5    -7.0     7.695330E+01     0.000000E+00
    21.0    -7.5     7.741582E+01     0.000000E+00
    21.5    -8.0     7.813829E+01     0.000000E+00
    22.0    -8.5     7.900741E+01     0.000000E+00
    22.5    -9.0     7.993829E+01     0.000000E+00
    23.0    -9.5     8.088084E+01     0.000000E+00
    23.5   -10.0     8.178211E+01     0.000000E+00
    24.0   -10.5     8.264927E+01     0.000000E+00
    24.5   -11.0     8.344241E+01     0.000000E+00
    25.0   -11.5     8.417918E+01     0.000000E+00
    25.5   -12.0     8.484888E+01     0.000000E+00
    26.0   -12.5     8.546131E+01     0.000000E+00
    26.5   -13.0     8.602546E+01     0.000000E+00
    15.5    -1.0     8.573496E+01     0.000000E+00
    16.0    -1.5     1.087501E+02     0.000000E+00
    16.5    -2.0     1.057355E+02     0.000000E+00
    17.0    -2.5     9.981218E+01     0.000000E+00
    17.5    -3.0     9.530034E+01     0.000000E+00
    18.0    -3.5     9.137362E+01     0.000000E+00
    18.5    -4.0     8.741707E+01     0.000000E+00
    19.0    -4.5     8.380973E+01     0.000000E+00
    19.5    -5.0     8.088766E+01     0.000000E+00
    20.0    -5.5     7.877604E+01     0.000000E+00
    20.5    -6.0     7.743725E+01     0.000000E+00
    21.0    -6.5     7.674657E+01     0.000000E+00
